,LastName,Week,Stage,Historical_Cumulative,WeeklyGoal,Current_Cumulative,GoalVariance
4271,GregoryGBC,8,Com,12.333333333333334,17.871794871794872,12.0,-5.871794871794872
4272,GregoryGBC,9,Com,14.666666666666666,20.897435897435898,12.0,-8.897435897435898
4273,GregoryGBC,10,Com,17.666666666666668,24.58974358974359,16.0,-8.589743589743591
4274,GregoryGBC,11,Com,21.0,28.615384615384613,20.0,-8.615384615384613
4275,GregoryGBC,12,Com,24.666666666666668,32.97435897435898,37.0,4.025641025641022
4276,GregoryGBC,13,Com,28.333333333333332,37.33333333333333,41.0,3.6666666666666714
4277,GregoryGBC,14,Com,28.333333333333332,38.02564102564102,42.0,3.974358974358978
4278,GregoryGBC,15,Com,28.666666666666668,39.05128205128205,42.0,2.948717948717949
4279,GregoryGBC,16,Com,30.0,41.07692307692308,44.0,2.92307692307692
4280,GregoryGBC,17,Com,33.333333333333336,45.1025641025641,51.0,5.897435897435898
4281,GregoryGBC,18,Com,35.0,47.46153846153846,53.0,5.53846153846154
4282,GregoryGBC,19,Com,36.666666666666664,49.82051282051282,57.0,7.179487179487182
4283,GregoryGBC,20,Com,40.0,53.84615384615385,58.0,4.153846153846153
4284,GregoryGBC,21,Com,44.0,58.53846153846154,61.0,2.46153846153846
4285,GregoryGBC,22,Com,48.0,63.230769230769226,66.0,2.7692307692307736
4286,GregoryGBC,23,Com,53.666666666666664,69.58974358974359,71.0,1.4102564102564088
4287,GregoryGBC,24,Com,57.0,73.61538461538461,72.0,-1.6153846153846132
4288,GregoryGBC,25,Com,59.0,76.3076923076923,76.0,-0.3076923076923066
4289,GregoryGBC,26,Com,59.333333333333336,77.33333333333334,76.0,-1.3333333333333428
4290,GregoryGBC,27,Com,59.666666666666664,78.35897435897436,77.0,-1.3589743589743648
4291,GregoryGBC,28,Com,60.333333333333336,79.71794871794872,77.0,-2.7179487179487154
4292,GregoryGBC,29,Com,60.666666666666664,80.74358974358974,77.0,-3.7435897435897374
4293,GregoryGBC,30,Com,62.0,82.76923076923077,77.0,-5.769230769230774
4294,GregoryGBC,31,Com,63.0,84.46153846153845,77.0,-7.461538461538453
4295,GregoryGBC,32,Com,63.0,85.15384615384616,77.0,-8.15384615384616
4296,GregoryGBC,33,Com,64.0,86.84615384615384,77.0,-9.84615384615384
