,Week,Stage,Historical_Cumulative,Current_Cumulative,GoalVariance
149,46,Com,1685.0,1917.0,-49.30769230769238
150,47,Com,1697.6666666666667,1925.0,-60.08974358974365
151,48,Com,1704.3333333333333,1938.0,-59.87179487179492
152,49,Com,1718.6666666666667,1956.0,-62.32051282051293
153,50,Com,1731.3333333333333,1987.0,-50.102564102563974
154,51,Com,1745.0,1987.0,-69.88461538461524
155,52,Com,1751.0,1987.0,-82.0
156,1,Dep,9.0,13.0,1.9230769230769234
157,2,Dep,9.333333333333334,13.0,-0.487179487179489
158,3,Dep,10.0,14.0,-2.23076923076923
159,4,Dep,10.0,14.0,-4.307692307692307
160,5,Dep,13.333333333333334,14.0,-9.717948717948719
161,6,Dep,14.0,14.0,-12.46153846153846
162,7,Dep,14.333333333333334,14.0,-14.871794871794872
163,8,Dep,15.666666666666666,14.0,-18.282051282051285
164,9,Dep,16.0,14.0,-20.692307692307693
165,10,Dep,16.666666666666668,14.0,-23.435897435897438
166,11,Dep,17.666666666666668,15.0,-25.51282051282051
167,12,Dep,19.666666666666668,15.0,-29.58974358974359
168,13,Dep,22.0,16.0,-33.0
169,14,Dep,22.666666666666668,18.0,-33.743589743589745
170,15,Dep,23.333333333333332,22.0,-32.48717948717949
171,16,Dep,29.333333333333332,25.0,-37.56410256410257
172,17,Dep,34.666666666666664,28.0,-41.97435897435898
173,18,Dep,38.666666666666664,34.0,-42.051282051282044
174,19,Dep,45.333333333333336,37.0,-47.794871794871796
175,20,Dep,54.0,53.0,-42.53846153846155
176,21,Dep,63.333333333333336,67.0,-39.948717948717956
177,22,Dep,76.0,76.0,-45.69230769230769
178,23,Dep,92.66666666666667,83.0,-57.43589743589743
179,24,Dep,124.0,110.0,-63.84615384615384
180,25,Dep,154.33333333333334,154.0,-52.25641025641028
181,26,Dep,176.66666666666666,189.0,-41.66666666666666
182,27,Dep,204.33333333333334,245.0,-15.410256410256409
183,28,Dep,239.0,280.0,-17.153846153846132
184,29,Dep,267.3333333333333,320.0,-7.564102564102541
185,30,Dep,305.0,366.0,-1.3076923076923208
186,31,Dep,367.0,436.0,4.615384615384642
187,32,Dep,478.6666666666667,555.0,9.871794871794805
188,33,Dep,523.3333333333334,576.0,-15.871794871794918
189,34,Dep,549.3333333333334,605.0,-14.948717948718013
190,35,Dep,568.0,615.0,-25.692307692307736
191,36,Dep,585.3333333333334,629.0,-31.1025641025642
192,37,Dep,597.3333333333334,645.0,-29.179487179487182
193,38,Dep,610.6666666666666,655.0,-34.589743589743534
194,39,Dep,621.0,666.0,-36.0
195,40,Dep,632.3333333333334,683.0,-32.410256410256466
196,41,Dep,639.0,688.0,-36.15384615384619
197,42,Dep,646.3333333333334,694.0,-39.56410256410254
198,43,Dep,660.6666666666666,700.0,-49.97435897435889
199,44,Dep,673.0,708.0,-56.38461538461536
200,45,Dep,685.0,718.0,-60.46153846153845
201,46,Dep,702.3333333333334,728.0,-69.87179487179492
202,47,Dep,715.0,745.0,-67.61538461538464
203,48,Dep,722.3333333333334,758.0,-64.02564102564111
204,49,Dep,735.6666666666666,770.0,-67.43589743589746
205,50,Dep,747.6666666666666,797.0,-54.51282051282044
206,51,Dep,760.3333333333334,797.0,-69.25641025641028
207,52,Dep,765.0,797.0,-76.0
208,1,Inq,4260.333333333333,5314.0,1007.3269230769238
209,2,Inq,4511.333333333333,5779.0,1174.9871794871797
210,3,Inq,4811.666666666667,5898.0,947.3141025641025
211,4,Inq,5176.333333333333,6439.0,1077.3076923076924
212,5,Inq,5622.333333333333,7368.0,1513.9679487179492
213,6,Inq,6097.0,8256.0,1880.961538461538
214,7,Inq,6424.0,8701.0,1952.621794871795
215,8,Inq,6832.0,9047.0,1844.2820512820517
216,9,Inq,7154.666666666667,9377.0,1805.2756410256407
217,10,Inq,7393.0,9672.0,1815.6025641025644
218,11,Inq,7589.0,9967.0,1868.2628205128203
219,12,Inq,7732.666666666667,10182.0,1893.2564102564102
220,13,Inq,7812.666666666667,10265.0,1849.916666666666
221,14,Inq,7891.333333333333,10336.0,1795.9102564102577
222,15,Inq,7995.0,10809.0,2118.9038461538457
223,16,Inq,8136.666666666667,11072.0,2193.8974358974356
224,17,Inq,8261.666666666666,11196.0,2146.5576923076933
225,18,Inq,8382.333333333334,11385.0,2168.5512820512813
226,19,Inq,8499.333333333334,11570.0,2190.211538461537
227,20,Inq,8624.333333333334,11659.0,2107.871794871795
228,21,Inq,8758.666666666666,11817.0,2085.1987179487187
229,22,Inq,8872.666666666666,11933.0,2040.8589743589746
